[indx],Wine,Type,Variety,Cost,Review,Rating,Overall,Taste,Store,wineName,wineVintage,TypeClassifier,url
0,2008 Trentatre Rosso 33 (not 2009),Red,Blend,$5.99,Bulk Buy: 2008 Trentatre Rosso 33 (Santini Wines Trentatre Salento IGT) (http://goo.gl/Lu6Vx),Bulk Buy,9.3,9.0,Trader Joe's,Trentatre Rosso 33 (not 2009),2008,http://goo.gl/Lu6Vx,Red
1,2009 Andrew Murray Vineyards Tous Les Jours Syrah,Red,Syrah,$13.99,A Simply Stunning Bulk Buy! (http://www.reversewinesnob.com/2012/04/andrew-murray-vineyards-tous-les-jours.html),Bulk Buy,9.0,10.0,Other,Andrew Murray Vineyards Tous Les Jours Syrah,2009,http://www.reversewinesnob.com/2012/04/andrew-murray-vineyards-tous-les-jours.html,Red
2,2011 Andrew Murray Vineyards Tous Les Jours Syrah,Red,Syrah,$12.99,Andrew Murray Vineyards Tous Les Jours Syrah 2011 - Another Home Run (http://www.reversewinesnob.com/2013/06/andrew-murray-vineyards-tous-les-jours-syrah.html),Bulk Buy,9.0,10.0,Other,Andrew Murray Vineyards Tous Les Jours Syrah,2011,http://www.reversewinesnob.com/2013/06/andrew-murray-vineyards-tous-les-jours-syrah.html,Red
3,2010 Evodia Old Vines Garnacha,Red,Garnacha,$7.99,Evodia Old Vines Garnacha 2010 - A Simply Superb Bulk Buy! (http://www.reversewinesnob.com/2012/07/evodia-old-vines-garnacha-2010-simply.html),Bulk Buy,9.0,9.0,Costco,Evodia Old Vines Garnacha,2010,http://www.reversewinesnob.com/2012/07/evodia-old-vines-garnacha-2010-simply.html,Red
4,2010 Ridge Crest Syrah,Red,Syrah,$7.99,Ridge Crest Syrah 2010 - Simply Delicious (http://www.reversewinesnob.com/2013/08/ridge-crest-syrah.html),Bulk Buy,9.0,9.0,Other,Ridge Crest Syrah,2010,http://www.reversewinesnob.com/2013/08/ridge-crest-syrah.html,Red
5,2010 Saladini Pilastri Rosso Piceno,Red,Blend,$6.99,Saladini Pilastri Rosso Piceno 2010 - $8 Italian Reds Wine #6 Plus Free Shipping From Marketview Liquor (http://www.reversewinesnob.com/2013/03/saladini-pilastri-rosso-piceno.html),Bulk Buy,9.0,9.0,Other,Saladini Pilastri Rosso Piceno,2010,http://www.reversewinesnob.com/2013/03/saladini-pilastri-rosso-piceno.html,Red
6,2011 Bodegas Filon Garnacha,Red,Garnacha,$7.99,Crazy For The Calatayud - Bodegas Filon Garnacha 2011 Plus Five More Favorites Under $12 (http://www.reversewinesnob.com/2013/05/crazy-for-calatayud-bodegas-filon-garnacha.html),Bulk Buy,9.0,9.0,Other,Bodegas Filon Garnacha,2011,http://www.reversewinesnob.com/2013/05/crazy-for-calatayud-bodegas-filon-garnacha.html,Red
7,2007 Colognole Chianti Rufina,Red,Sangiovese,$15.99,Colognole Chianti Rufina 2007 - The Definition of Savory (http://www.reversewinesnob.com/2013/02/colognole-chianti-rufina-2007.html),Bulk Buy,8.8,10.0,Other,Colognole Chianti Rufina,2007,http://www.reversewinesnob.com/2013/02/colognole-chianti-rufina-2007.html,Red
8,2009 Quinta De La Rosa Douro Red,Red,Blend,$15.99,Quinta De La Rosa Douro Red 2009 - Perfection From Portugal (And It's Not Port) (http://www.reversewinesnob.com/2013/01/quinta-de-la-rosa-douro-red.html),Bulk Buy,8.8,10.0,Other,Quinta De La Rosa Douro Red,2009,http://www.reversewinesnob.com/2013/01/quinta-de-la-rosa-douro-red.html,Red
9,2010 Eden Road The Long Road Gundagai Shiraz,Red,Shiraz,$15.99,Eden Road The Long Road Gundagai Shiraz 2010 - One More Reason to Love Syrah/Shiraz (http://www.reversewinesnob.com/2012/08/eden-road-long-road-gundagai-shiraz.html),Bulk Buy,8.8,10.0,Other,Eden Road The Long Road Gundagai Shiraz,2010,http://www.reversewinesnob.com/2012/08/eden-road-long-road-gundagai-shiraz.html,Red
10,2007 Vina Eguia Rioja Reserva,Red,Tempranillo,$9.99,"Vina Eguia Rioja Reserva 2007 - Bulk Buy Alert...Run, Don't Walk To Get This Wine! (http://www.reversewinesnob.com/2012/06/vina-eguia-rioja-reserva-2007-bulk-buy.html)",Bulk Buy,8.8,9.0,Costco,Vina Eguia Rioja Reserva,2007,http://www.reversewinesnob.com/2012/06/vina-eguia-rioja-reserva-2007-bulk-buy.html,Red
