Wine,Type,Variety,Cost,Review,Rating,Overall,Taste,Store
2008 Trentatre Rosso 33 (not 2009),Red,Blend,$5.99,Bulk Buy: 2008 Trentatre Rosso 33 (Santini Wines Trentatre Salento IGT) (http://goo.gl/Lu6Vx),Bulk Buy,9.3,9,Trader Joe's
2009 Andrew Murray Vineyards Tous Les Jours Syrah,Red,Syrah,$13.99,A Simply Stunning Bulk Buy! (http://www.reversewinesnob.com/2012/04/andrew-murray-vineyards-tous-les-jours.html),Bulk Buy,9,10,Other
2011 Andrew Murray Vineyards Tous Les Jours Syrah,Red,Syrah,$12.99,Andrew Murray Vineyards Tous Les Jours Syrah 2011 - Another Home Run (http://www.reversewinesnob.com/2013/06/andrew-murray-vineyards-tous-les-jours-syrah.html),Bulk Buy,9,10,Other
2010 Evodia Old Vines Garnacha,Red,Garnacha,$7.99,Evodia Old Vines Garnacha 2010 - A Simply Superb Bulk Buy! (http://www.reversewinesnob.com/2012/07/evodia-old-vines-garnacha-2010-simply.html),Bulk Buy,9,9,Costco
2010 Ridge Crest Syrah,Red,Syrah,$7.99,Ridge Crest Syrah 2010 - Simply Delicious (http://www.reversewinesnob.com/2013/08/ridge-crest-syrah.html),Bulk Buy,9,9,Other
2010 Saladini Pilastri Rosso Piceno,Red,Blend,$6.99,Saladini Pilastri Rosso Piceno 2010 - $8 Italian Reds Wine #6 Plus Free Shipping From Marketview Liquor (http://www.reversewinesnob.com/2013/03/saladini-pilastri-rosso-piceno.html),Bulk Buy,9,9,Other
2011 Bodegas Filon Garnacha,Red,Garnacha,$7.99,Crazy For The Calatayud - Bodegas Filon Garnacha 2011 Plus Five More Favorites Under $12 (http://www.reversewinesnob.com/2013/05/crazy-for-calatayud-bodegas-filon-garnacha.html),Bulk Buy,9,9,Other
2007 Colognole Chianti Rufina,Red,Sangiovese,$15.99,Colognole Chianti Rufina 2007 - The Definition of Savory (http://www.reversewinesnob.com/2013/02/colognole-chianti-rufina-2007.html),Bulk Buy,8.8,10,Other
2009 Quinta De La Rosa Douro Red,Red,Blend,$15.99,Quinta De La Rosa Douro Red 2009 - Perfection From Portugal (And It's Not Port) (http://www.reversewinesnob.com/2013/01/quinta-de-la-rosa-douro-red.html),Bulk Buy,8.8,10,Other
2010 Eden Road The Long Road Gundagai Shiraz,Red,Shiraz,$15.99,Eden Road The Long Road Gundagai Shiraz 2010 - One More Reason to Love Syrah/Shiraz (http://www.reversewinesnob.com/2012/08/eden-road-long-road-gundagai-shiraz.html),Bulk Buy,8.8,10,Other
2007 Vina Eguia Rioja Reserva,Red,Tempranillo,$9.99,"Vina Eguia Rioja Reserva 2007 - Bulk Buy Alert...Run, Don't Walk To Get This Wine! (http://www.reversewinesnob.com/2012/06/vina-eguia-rioja-reserva-2007-bulk-buy.html)",Bulk Buy,8.8,9,Costco
2009 Punto y Coma Old Vine Garnacha by Castillo de Maluenda,Red,Garnacha,$8.99,Punto y Coma Garnacha 2009 - The Calatayud Strikes Again! (http://www.reversewinesnob.com/2013/06/punto-y-coma-garnacha-2009.html),Bulk Buy,8.8,9,Other
2009 Rocca dell'Olmo Barbaresco,Red,Nebbiolo,$9.99,Brunello and Barbaresco On The Cheap - Trader Joe's Week Wines #6 and #7 (http://www.reversewinesnob.com/2013/06/brunello-and-barbaresco-on-cheap-trader-joes.html),Bulk Buy,8.8,9,Trader Joe's
2010 Mazzoni Rosso di Toscana,Red,Blend,$9.99,Mazzoni Rosso di Toscana 2010 - Montalcino For Less Moola (http://www.reversewinesnob.com/2013/08/mazzoni-rosso-di-toscana.html),Bulk Buy,8.8,9,Other
2011 Sledgehammer Zinfandel,Red,Zinfandel,$9.99,Sledgehammer Zinfandel 2011 - Much More Than A Catchy Name (http://www.reversewinesnob.com/2014/06/sledgehammer-zinfandel.html),Bulk Buy,8.8,9,Other
2012 Compania de Vinedos Iberian Yaso Toro,Red,Tempranillo,$9.89,Yaso Toro 2012 - Yahoo! (http://www.reversewinesnob.com/2014/03/yaso-toro.html),Bulk Buy,8.8,9,Costco
2013 Pine Ridge Chenin Blanc + Viognier,White,Blend,$9.99,Pine Ridge Chenin Blanc + Viognier 2013 - Trader Joe's Top Picks Wine #2 (http://www.reversewinesnob.com/2014/05/pine-ridge-chenin-blanc-viognier.html),Bulk Buy,8.8,9,Trader Joe's
2012 Merino Syrah,Red,Syrah,$13.99,Merino Syrah 2012 - Simply Luscious (http://www.reversewinesnob.com/2014/09/merino-syrah.html),Bulk Buy,8.6,9,Other
2009 Marchesi de Frescobaldi Nipozzano Chianti Rufina Riserva,Red,Sangiovese,$16.99,Frescobaldi Nipozzano Chianti Rufina Riserva 2009 - Love At First Sniff (http://www.reversewinesnob.com/2013/04/frescobaldi-nipozzano-chianti-rufina-riserva.html),Bulk Buy,8.5,10,Costco
2009 Scacciadiavoli Montefalco Rosso,Red,Blend,$16.99,Montefalco Rosso - The Magic of Sagrantino (http://www.reversewinesnob.com/2014/01/montefalco-rosso-magic-of-sagrantino.html),Bulk Buy,8.5,10,Other
2009 Seleccion de Torres Celeste Crianza,Red,Tempranillo,$16.99,Reveling in the Wine of Ribera Del Duero Plus 3 Top Value Picks From This Region (http://www.reversewinesnob.com/2013/04/reveling-in-the-wine-of-ribera-del-duero.html),Bulk Buy,8.5,10,Other
2006 Bodegas Ondarre Rioja Reserva,Red,Tempranillo,$11.99,Bodegas Ondarre Reserva 2006 - Rioja Racks Up Another Winner (http://www.reversewinesnob.com/2014/03/bodegas-ondarre-rioja-reserva.html),Bulk Buy,8.5,9,Other
2008 Bodegas Borsao Berola,Red,Blend,$10.99,Borsao Berola 2008 - Absolutely Fabulous (http://www.reversewinesnob.com/2012/11/borsao-berola-2008-absolutely-fabulous.html),Bulk Buy,8.5,9,Other
2008 Saladini Pilastri Pregio del Conte,Red,Blend,$11.99,Saladini Pilastri Pregio del Conte 2008: Montepulciano + Aglianico = Love (http://www.reversewinesnob.com/2012/10/saladini-pilastri-pregio-del-conte-2008.html),Bulk Buy,8.5,9,Other
2009 Di Majo Norante Ramitello Biferno Rosso ,Red,Montepulciano,$11.99,Di Majo Norante Ramitello 2009 - Majorly Good (http://www.reversewinesnob.com/2013/03/di-majo-norante-ramitello-2009-majorly-good.html),Bulk Buy,8.5,9,Other
2009 Stefano Farina Le Brume Langhe Rosso,Red,Blend,$11.99,Stefano Farina Le Brume Langhe Rosso 2009 - An Intriguing Blend That Hits All The Right Notes (http://www.reversewinesnob.com/2013/10/stefano-farina-le-brume-langhe-rosso.html),Bulk Buy,8.5,9,Costco
2010 Atteca Old Vines Garnacha,Red,Garnacha,$11.99,Atteca Old Vines Garnacha 2010 - Costco Week Wine #3 (http://www.reversewinesnob.com/2013/02/atteca-old-vines-garnacha-2010-costco.html),Bulk Buy,8.5,9,Costco
2010 Bodega Colomé Amalaya,Red,Malbec,$11.49,"Bodega Colomé Amalaya 2010 - Smooth, Sophisticated and Sultry (http://www.reversewinesnob.com/2012/09/bodega-colome-amalaya-2010-smooth.html)",Bulk Buy,8.5,9,Other
2010 Bodegas Borsao Tres Picos Garnacha,Red,Garnacha,$11.99,Borsao Tres Picos Garnacha 2010 - Great Garnacha! (http://www.reversewinesnob.com/2013/03/borsao-tres-picos-garnacha.html),Bulk Buy,8.5,9,Other
2010 Cameron Hughes Lot 325 Atlas Peak Napa Valley Meritage,Red,Meritage,$11.99,Battle of The Bargain Napa Valley Meritage - Cameron Hughes Lot 325 vs Kirkland Signature (http://www.reversewinesnob.com/2013/09/battle-of-bargain-napa-valley-meritage.html),Bulk Buy,8.5,9,Costco
2010 Cameron Hughes Lot 354 Crozes-Hermitage,Red,Syrah,$10.99,Cameron Hughes Lot 354 Crozes-Hermitage 2010 - Get It While You Can (http://www.reversewinesnob.com/2014/03/cameron-hughes-lot-354-crozes-hermitage.html),Bulk Buy,8.5,9,Costco
2010 Falesco Merlot Umbria,Red,Merlot,$11.99,Falesco Merlot Umbria 2010 - Just Drink It (http://www.reversewinesnob.com/2014/03/falesco-merlot-umbria.html),Bulk Buy,8.5,9,Other
2010 Kendall-Jackson Vintner's Reserve Summation Red Blend,Red,Blend,$11.99,Kendall-Jackson Vintner's Reserve Summation Red Blend 2010 - The Total Package (http://www.reversewinesnob.com/2014/01/kendall-jackson-vintners-reserve-summation-red.html),Bulk Buy,8.5,9,Other
2010 Kirkland Signature Napa Valley Meritage,Red,Meritage,$10.99,Battle of The Bargain Napa Valley Meritage - Cameron Hughes Lot 325 vs Kirkland Signature (http://www.reversewinesnob.com/2013/09/battle-of-bargain-napa-valley-meritage.html),Bulk Buy,8.5,9,Costco
2010 Ravenswood Napa Valley Old Vine Zinfandel,Red,Zinfandel,$11.99,Ravenswood Napa Valley Old Vine Zinfandel 2010 - Bold Without Being Bombastic (http://www.reversewinesnob.com/2012/12/ravenswood-napa-valley-old-vine-zinfandel.html),Bulk Buy,8.5,9,Other
2011 Argillae Orvieto,White,Blend,$11.99,Excellent Italian Whites - Exploring the White Wines of Italy Including Two Bulk Buy Selections! (http://www.reversewinesnob.com/2013/05/excellent-italian-whites.html),Bulk Buy,8.5,9,Other
2011 Hahn Winery California Pinot Noir,Red,Pinot Noir,$11.99,Hahn Winery California Pinot Noir 2011 - A Brilliant Bargain (Bulk Buy) (http://www.reversewinesnob.com/2012/08/hahn-winery-california-pinot-noir-2011.html),Bulk Buy,8.5,9,Costco
